COUNTY,Retailer Commission,Prizes Paid,HOPE Students to Date,hopeDollars,PreK Students To Date,PreK Dollars To Date,*Outlay/Technology fy94-01,TOTAL RETURNED TO EDUCATION,sales,TOTAL RETURNED To Date,id,hopeRank,salesRank,hopeStudentRank
DADE ,15023612,102776546,1985,6369973,2121,9316746,692996,16379715,246867383,134179872,21,126,45,128
BANKS ,2208726,19123100,1963,6983845,1242,4261480,508344,11753669,34991556,33085494,152,120,149,129
HEARD,3958981,31688032,1766,5322746,1905,8039647,553393,13915786,60744274,49562799,122,132,124,130
TWIGGS ,3659568,27886420,1690,4735451,1130,5163538,727160,10626149,54764882,42172137,65,137,129,131
CALHOUN ,2518951,20036295,1683,4816419,503,2078530,726831,7621780,38453212,30177025,91,136,143,132
TOWNS ,3930657,33074886,1679,6120159,636,2453911,766094,9340164,62422465,46345706,83,128,122,133
LANIER ,2503000,22052183,1652,4495756,1455,6527393,734073,11757222,38610642,36312404,0,140,142,134
WILKES,6524762,52287151,1594,6175127,1552,7175245,912896,14263268,96366520,73075181,59,127,92,135
RANDOLPH ,4483787,39099673,1547,4971134,713,3343504,642286,8956924,68094329,52540385,74,135,116,136
CLINCH ,2316548,20698250,1517,4452804,1334,5615094,465317,10533215,36183544,33548013,46,141,147,137
CRAWFORD,3325722,25782378,1517,4368225,1289,6183116,581581,11132922,49748895,40241022,142,142,134,138
MACON ,7206937,59834418,1482,4624644,1088,4645849,916922,10187415,108833131,77228769,129,139,87,139
LONG ,1884621,14489280,1436,4071201,1801,7133358,804004,12008563,28822319,28382464,143,143,151,140
MCINTOSH ,4914594,38239369,1425,4628504,1329,6046166,521729,11196399,74057900,54350362,125,138,108,141
TREUTLEN,2425352,19524644,1421,3840755,1056,4410945,551927,8803627,36291164,30753624,135,146,146,142
TALBOT ,2766586,21687451,1291,3842477,688,2804107,410239,7056823,41240058,31510861,12,145,140,143
LINCOLN ,3680460,28643874,1260,5156854,986,4677885,518757,10353496,55115970,42677830,93,133,127,144
WHEELER ,1547587,13005132,1236,3317265,963,4242939,811691,8371895,23883105,22924613,124,148,152,145
OGLETHORPE,2785161,22197184,1200,5003304,1130,3537402,795424,9336130,42327145,34318474,102,134,138,146
SCHLEY ,1458775,12181902,1166,3953684,956,4794514,546980,9295178,22520189,22935855,13,144,154,147
WARREN ,3492831,27224171,1147,3563545,935,3274926,375999,7214470,50434324,37931472,30,147,133,148
MARION ,3354924,29161196,1004,3249982,1103,4800256,448076,8498314,51157898,41014433,118,149,131,149
STEWART ,3705016,30221875,829,2505366,581,2685620,566960,5757946,55624158,39684838,121,150,126,150
GLASCOCK ,696623,5544896,763,2340407,510,1775127,464292,4579826,10701864,10821344,63,151,157,151
BAKER ,1074894,8999950,576,1597403,459,2210079,258114,4065596,16823495,14140440,92,153,155,152
CLAY ,3061468,24466810,556,1775101,623,2867144,261200,4903445,46614454,32431722,117,152,135,153
CHATTAHOOCHEE ,1501413,12524992,512,1521823,1233,4619028,229727,6370578,23197219,20396983,146,154,153,154
MILLER ,2118068,18658481,480,1348334,672,2783366,506280,4637980,32373347,25414528,67,156,150,155
WEBSTER ,688839,5310678,429,1424492,452,2213617,262680,3900789,10449986,9900306,97,155,158,156
ECHOLS ,367524,3361029,255,660544,632,2749392,566424,3976360,5740759,7704913,36,158,159,157
TALIAFERRO ,862560,6911442,243,833423,184,922139,314210,2069772,13041631,9843773,107,157,156,158
QUITMAN ,7782109,60184368,202,611850,495,2491026,373484,3476360,118295104,71442837,38,159,85,159
